decision_date,entry_date,end_date,entry_price,end_price,return,upper_barrier,lower_barrier,barrier_touched,value_at_barrier_touched,label
2024-03-25,2024-03-26,2024-03-26,172.63,177.67,0.029195388982216255,177.66813156002644,167.59186843997355,upper,177.66813156002644,1
2024-03-26,2024-03-27,2024-04-01,177.67,175.22,-0.01378960995103275,183.04168548259756,172.29831451740242,lower,172.29831451740242,-1
2024-03-27,2024-03-28,2024-04-01,179.83,175.22,-0.025635322248790598,185.27018450274184,174.3898154972582,lower,174.3898154972582,-1
2024-03-28,2024-04-01,2024-04-01,175.79,175.22,-0.003242505261960255,181.14574509214825,170.4342549078517,lower,170.4342549078517,-1
2024-04-01,2024-04-02,2024-04-02,175.22,166.63,-0.04902408400867483,180.5437507259058,169.89624927409417,lower,169.89624927409417,-1
2024-04-02,2024-04-03,2024-04-04,166.63,171.11,0.026885914901278393,171.3280965024203,161.9319034975797,upper,171.3280965024203,1
2024-04-03,2024-04-04,2024-04-04,168.38,171.11,0.01621332699845598,172.96835278649314,163.79164721350685,upper,172.96835278649314,1
2024-04-04,2024-04-05,2024-04-05,171.11,164.9,-0.03629244345742509,175.75556469331198,166.46443530668805,lower,166.46443530668805,-1
2024-04-05,2024-04-08,2024-04-08,164.9,172.98,0.04899939357186164,169.52494170169024,160.27505829830977,upper,169.52494170169024,1
2024-04-08,2024-04-09,2024-04-09,172.98,176.88,0.022545959070412798,178.19436813779112,167.76563186220886,upper,178.19436813779112,1
2024-04-09,2024-04-10,2024-04-10,176.88,171.76,-0.02894617819990957,182.26062186637847,171.49937813362152,lower,171.49937813362152,-1
2024-04-10,2024-04-11,2024-04-15,171.76,161.48,-0.05985095482068003,177.10363690167858,166.4163630983214,lower,166.4163630983214,-1
2024-04-11,2024-04-12,2024-04-15,174.6,161.48,-0.07514318442153496,179.75442559146975,169.44557440853023,lower,169.44557440853023,-1
2024-04-12,2024-04-15,2024-04-15,171.05,161.48,-0.0559485530546625,175.8840171531909,166.2159828468091,lower,166.2159828468091,-1
2024-04-15,2024-04-16,2024-04-16,161.48,157.11,-0.027062174882338225,166.50987308826188,156.45012691173807,lower,156.45012691173807,-1
2024-04-16,2024-04-17,2024-04-18,157.11,149.93,-0.04570046464260713,161.4980231267512,152.72197687324885,lower,152.72197687324885,-1
2024-04-17,2024-04-18,2024-04-18,155.45,149.93,-0.03550981022836914,159.7831378119519,151.11686218804812,lower,151.11686218804812,-1
2024-04-18,2024-04-19,2024-04-22,149.93,142.05,-0.05255786033482288,154.0935705274218,145.7664294725782,lower,145.7664294725782,-1
2024-04-19,2024-04-22,2024-04-22,147.05,142.05,-0.03400204012240734,151.14213869731452,142.9578613026855,lower,142.9578613026855,-1
2024-04-22,2024-04-23,2024-04-23,142.05,144.68,0.018514607532558923,146.08979518689938,138.01020481310061,upper,146.08979518689938,1
2024-04-23,2024-04-24,2024-04-24,144.68,162.13,0.1206110035941387,148.84368832559008,140.51631167440993,upper,148.84368832559008,1
2024-04-24,2024-04-25,2024-04-25,162.13,170.18,0.04965151421698644,168.63096343642843,155.62903656357156,upper,168.63096343642843,1
2024-04-25,2024-04-26,2024-04-29,170.18,194.05,0.1402632506757551,177.28113835279936,163.07886164720063,upper,177.28113835279936,1
2024-04-26,2024-04-29,2024-04-29,168.29,194.05,0.15306910689880576,175.27572350635498,161.304276493645,upper,175.27572350635498,1
2024-04-29,2024-04-30,2024-04-30,194.05,183.28,-0.05550115949497557,204.5253921987175,183.57460780128253,lower,183.57460780128253,-1
2024-04-30,2024-05-01,2024-05-08,183.28,174.72,-0.04670449585333916,193.24151143216935,173.31848856783063,lower,173.31848856783063,-1
2024-05-01,2024-05-02,2024-05-08,179.99,174.72,-0.029279404411356243,189.8178253710276,170.16217462897242,lower,170.16217462897242,-1
2024-05-02,2024-05-03,2024-05-08,180.01,174.72,-0.02938725626354087,189.82807341816562,170.19192658183434,lower,170.19192658183434,-1
2024-05-03,2024-05-06,2024-05-08,181.19,174.72,-0.03570837242673436,190.9228125894282,171.4571874105718,lower,171.4571874105718,-1
2024-05-06,2024-05-07,2024-05-08,184.76,174.72,-0.054340766399653566,194.52923963461743,174.99076036538256,lower,174.99076036538256,-1
2024-05-07,2024-05-08,2024-05-10,177.81,168.47,-0.052527979303751214,187.3238445314317,168.29615546856832,lower,168.29615546856832,-1
2024-05-08,2024-05-09,2024-05-21,174.72,186.6,0.06799450549450547,184.0186725320735,165.42132746792652,upper,184.0186725320735,1
2024-05-09,2024-05-10,2024-05-21,171.97,186.6,0.08507297784497293,181.12738636202133,162.81261363797867,upper,181.12738636202133,1
2024-05-10,2024-05-13,2024-05-14,168.47,177.55,0.053896836231970155,177.44108183983593,159.49891816016407,upper,177.44108183983593,1
2024-05-13,2024-05-14,2024-05-21,171.89,186.6,0.08557798592122874,180.77708567603017,163.0029143239698,upper,180.77708567603017,1
2024-05-14,2024-05-15,2024-05-21,177.55,186.6,0.05097155730780052,186.69829837419226,168.40170162580776,upper,186.69829837419226,1
2024-05-15,2024-05-16,2024-05-21,173.99,186.6,0.072475429622392,182.99254390286197,164.98745609713805,upper,182.99254390286197,1
