time,open,high,low,close,Volume,Histogram,MACD,Signal,K,D,Turnover (Cr),10 MA Turnover,Turnover / 10MA (X)
1575297000,21.959978,22.425491,21.912445,22.324644,91229881,-0.34473205082370884,0.7175170697669131,1.062249120590622,17.394915593046015,12.018383818032875,203.66746154873638,259.4530220634543,0.7849878175592249
1575383400,22.174644,22.527311,22.145711,22.413311,99202239,-0.3200154818885128,0.6622297682299809,0.9822452501184937,26.653037157400355,17.552171489233967,222.3450634603329,266.25820201063596,0.8350731049083367
1575469800,22.516644,22.523977,22.189978,22.201978,83043908,-0.31018959575713867,0.5945082554220704,0.9046978511792091,32.81977406496821,25.62257560513818,184.37390184500242,256.8828446165648,0.7177353634502429
1575556200,22.188644,22.294824,21.816645,22.024645,56054695.99999999,-0.3073352049108149,0.5205288450406904,0.8278640499515053,32.95717489673747,30.80999537303533,123.458477998292,245.5103207461484,0.5028647171454148
1575642600,22.333311,22.590644,22.317978,22.392644,114284169,-0.2734977507891452,0.4859918614650738,0.759489612254219,43.63492377002812,36.47062424391125,255.91247112528362,249.4214085894902,1.0260244803062464
1575901800,22.439311,22.96331,22.338644,22.635311,135603389.99999997,-0.22938956685161271,0.4727526536897031,0.7021422205413158,51.350048014317665,42.64738222702774,306.9424905304289,223.92967271322658,1.3707093249920117
1575988200,22.663977,23.381977,22.620644,23.255977,132599397,-0.1565102740009171,0.5065043780401695,0.6630146520410866,59.30133745564323,51.428769746662994,308.3728526845869,213.24321247439488,1.4461086433014354
1576074600,23.45841,23.812636,23.405977,23.51331,103787533,-0.09224860510564814,0.5477038956590263,0.6399525007646745,72.68983820708328,61.113741225681395,244.038843756423,211.47743569253208,1.153971074773349
1576161000,23.66131,24.182642,23.548643,23.978643,116643280.99999999,-0.02327267152030521,0.610861661364293,0.6341343328845982,89.47601044433985,73.82239536902212,279.6947593447683,221.01572833396185,1.2654970822806806
1576247400,24.069976,24.347309,23.642643,23.892643,98614312.99999999,0.009910498506813359,0.6465224560181149,0.6366119575113015,93.91578907349356,85.36054590830558,235.6156575199259,236.44219798137806,0.9965042599480602
1576506600,24.169976,25.573974,24.166643,25.433308,273314373,0.12270731323446082,0.7899960990543775,0.6672887858199167,97.41431095341356,93.602036823749,695.1288629335884,285.5883381198632,2.4340239783945186
1576593000,25.265975,25.699974,25.059975,25.265975,127556752,0.17021130571863252,0.8800529179682073,0.7098416122495748,94.42269396125583,95.25093132938764,322.28457071132004,295.5822888449619,1.090337895314032
1576679400,25.375308,26.347974,25.371975,26.209974,212046092,0.24483545033999243,1.0158859251745653,0.7710504748345729,93.399063682122,95.0786895322638,555.7722558121608,332.72212424167776,1.6703796210692234
1576765800,26.487974,27.123306,26.433307,26.935973,271804876,0.3180757797159838,1.1686451994795526,0.8505694197635688,93.14060423036783,93.65412062458188,732.1328801204348,393.589564453892,1.8601430176033091
1576852200,27.352639,27.533306,26.678973,27.039306,221778310.99999997,0.34614733291455846,1.2832535859067669,0.9371062529922084,95.56947299955092,94.03638030401358,599.6731615292165,427.9656334942853,1.4012180291977205
1577111400,27.451973,28.133972,27.333306,27.947972,199992514,0.3950419459301828,1.4309086854049369,1.035866739474754,95.56947299955094,94.7598500764899,558.9385181481608,453.1652362560585,1.2334099649081107
1577197800,27.890639,28.364638,27.512472,28.349972,120820919.99999999,0.42119029206124425,1.5623546045513095,1.1411643124900652,98.56108999170866,96.56667866360351,342.52696990142397,456.5806479777422,0.7502003674893417
1577370600,28.527305,28.898638,28.423305,28.729305,159724493.99999997,0.42930444640579735,1.677794870497312,1.2484904240915147,99.5847202708425,97.9050944207007,458.8773704096669,478.06450064306665,0.9598649759444798
1577457000,28.999971,29.020638,28.407305,28.691971,149352554,0.3981205751375423,1.7461411430134426,1.3480205678759003,96.91796377388212,98.35459134547777,428.52191481439337,492.9472161900291,0.8693058825373302
1577716200,28.585971,28.599971,27.283899,27.646639,189019164.00000003,0.2787046979901069,1.696401440363534,1.417696742373427,77.07478405128543,91.1924893653367,522.5744591189797,521.6430963499345,1.0017854406117175
1577802600,26.999993,28.085972,26.805307,27.888639,154386994,0.19176598291589575,1.6574042210182967,1.465638238102401,60.616135625726415,78.20296115029801,430.56431419611664,495.1866414761874,0.8694990497170382
1577975400,28.299972,28.713018,28.113972,28.683971,143375933.00000003,0.1646160770358187,1.6714083343971744,1.5067922573613557,51.939787784148976,63.21023582038696,411.25911042699437,504.08409544775475,0.8158541682647055
1578061800,29.366637,30.266636,29.127971,29.53397,266920721.00000003,0.17947740827618075,1.7311390177065817,1.551661609430401,47.13280297030597,53.22957546006048,788.3228566392371,527.3391555304623,1.4949067376691294
1578321000,29.364637,30.10397,29.333304,30.102637,152362637,0.20152849719475752,1.803572230923848,1.6020437337290905,46.81683291543644,48.62980788996382,458.6517153973769,499.99103905815656,0.9173198708947836
1578407400,30.759969,31.441969,30.223636,31.270635,273137343,0.26471861248185147,1.9329419993314048,1.6682233868495533,65.33634689596936,53.09532759390394,854.1178157822804,525.4355044834631,1.6255426374773307
1578493800,31.579968,33.232633,31.215302,32.809301,467991362,0.37343316078833855,2.1350148378349765,1.761581677046638,81.24462621882734,64.46593534341106,1535.446946125796,623.0863472812267,2.464260295263347
1578580200,33.139967,33.2533,31.524635,32.089301,426948216,0.3599886283164644,2.2115674624422184,1.851578834125754,81.27521997085078,75.9520643618825,1370.0469814637017,725.8383484374544,1.887537334467192
1578666600,32.119301,32.329301,31.579968,31.876635,194652674,0.30223831898872167,2.229376732861656,1.9271384138729344,75.0337008213741,79.18451567035076,620.487224087199,741.9993338052076,0.8362369018650516
1578925800,32.899967,35.041965,32.799967,34.990632,399518604,0.43135637241923686,2.4663338793969807,2.034977506977744,75.14776021617521,77.15222700280005,1397.9408449717728,838.9412268209455,1.6663155895545636
1579012200,36.28363,36.493964,34.993298,35.861297,435921090,0.526683957831974,2.6933324542677113,2.1666484964357373,74.29980902223699,74.82709001992878,1563.269567705373,943.0107376795847,1.6577431255470383
1579098600,35.317298,35.855964,34.452319,34.566632,260532725,0.45644838170120483,2.737208973562243,2.2807605918610383,62.50515309228932,70.65090744356718,900.57388290322,990.0116945502953,0.9096598432731628
1579185000,32.916634,34.297299,32.811301,34.232632,326050121,0.3463899461854574,2.71374802459286,2.3673580784074026,56.670042543307126,64.49166821927783,1116.1553805748472,1060.5013215650804,1.0524790095759928
1579271400,33.840633,34.377959,33.543966,34.033299,204436298.99999997,0.22494539953536918,2.648539827826614,2.4235944282912447,51.545708772761806,56.906968136119424,695.7641690320401,1051.2454528043609,0.6618474944894942
1579617000,35.349965,36.571963,35.227298,36.479964,267052332,0.271079297583797,2.7624435502709908,2.4913642526871937,48.1539509650082,52.12323409369239,974.2059457476049,1102.8008758393837,0.8833924302119363
1579703400,38.125962,39.633294,37.273296,37.970629,470535889.99999994,0.35820217190434755,2.939116967567628,2.5809147956632805,46.7567917640681,48.818817167279384,1786.6543710374808,1196.0545313649036,1.4937900607245735
1579789800,37.616629,38.799961,37.040143,38.146629,294765924,0.38173375321876124,3.058081987186732,2.6763482339679707,55.678799956555096,50.19651422854381,1124.4326344670194,1154.953100199026,0.9735742813048017
1579876200,38.041962,38.257295,36.95063,37.654629,215304214.99999997,0.3206737317978141,3.0771903987152385,2.7565166669174244,59.21303030806431,53.88287400956252,810.7200337961234,1099.020405432268,0.737675142143744
1580135400,36.132631,37.629296,35.951964,37.201296,204121224,0.21153095712025127,3.0209303633177385,2.809399406197487,57.97096289826501,57.62093105429482,759.3574073906303,1112.9074237626114,0.6823185749119461
1580221800,37.899295,38.453962,37.205296,37.793296,176827570.99999997,0.14420087694957573,2.989650502384457,2.845449625434881,52.68300242772,56.62233187801646,668.2896731764014,1039.9423065830742,0.6426218732962145
1580308200,38.379295,39.319954,37.828629,38.732628,273250353,0.12844499155124822,3.0060058648739414,2.877560873322693,51.78361061946864,54.14585864848456,1058.3704273617684,989.4523925487135,1.0696527041948225
1580394600,42.161291,43.391957,41.199959,42.720624,435085574.99999994,0.3401066239535053,3.302694153264575,2.9625875293110697,55.20662745963036,53.224413502273016,1858.7127257398797,1085.2662768323796,1.712678966829225
1580481000,42.666624,43.53329,42.167958,43.37129,235789225,0.4694577223978249,3.549409682308351,3.079951959910526,66.15326174665732,57.714499941918795,1022.648285635025,1075.9155673383975,0.9504912064474118
1580740200,44.912622,52.409281,44.901288,51.999948,708503133,1.0485041967394677,4.3905822058348605,3.3420780090953928,83.56816689032165,68.30935203220314,3684.212607383709,1374.7604111735643,2.679894312812427
1580826600,58.863941,64.599262,55.591944,59.137274,914082284,1.7814933702609799,5.568944721921618,3.787451351660638,95.37501177740322,81.69881347146075,5405.633448745381,1817.9031614733424,2.973554127253026
1580913000,54.883945,56.39861,46.94066,48.979951,726358280.9999999,1.4647818621031927,5.618428679289629,4.153646817186436,79.99999999999999,86.31439288924163,3557.6993011824225,1995.0076544878364,1.7833010781584016
1580999400,46.661287,53.05528,45.799954,49.930617,598211878,1.2122882168826532,5.669007088289753,4.4567188714071,61.34383627202925,78.90628268314417,2986.9088165268727,2181.2552726938216,1.369353167379662
1581085800,48.703285,51.316615,48.666618,49.871283,255953070,0.946062327630055,5.639296780944669,4.693234453314614,42.55917020556104,61.30100215919677,1276.470798868881,2227.8303492010973,0.5729658900313594
1581345000,53.33328,54.665945,50.15995,51.418615,370337814.99999994,0.7855627381298538,5.675187875976931,4.889625137847077,27.47597689640271,43.79299445799767,1904.2257529426224,2342.3171837562963,0.812966649499142
1581431400,51.252615,52.233688,50.533283,51.625282,175462270,0.6123954341049389,5.655119430478251,5.042723996373312,12.967476367795587,27.667541156586452,905.828916911014,2366.0711081297577,0.3828409525810994
1581517800,51.857948,52.649947,50.891282,51.152616,180337230,0.39561675016930664,5.537244934084946,5.141628183915639,15.613726824503445,18.685726696233925,922.472107669368,2352.481276160518,0.3921272900309471
1581604200,49.455951,54.533279,48.999951,53.599946,394340614,0.34831282749841286,5.577019218288655,5.228706390790242,25.173323850512396,17.918175680937154,2113.6635616006843,2377.976359746598,0.8888496947992874
1581690600,52.481281,54.197946,52.366614,53.33528,235405900.00000003,0.2358450273157997,5.523512674934992,5.287667647619192,32.71254329529347,24.499864656769773,1255.5439590152,2401.2659270846157,0.5228675195252364
